gender,age,education_level,annual_income,credit_score,employment_years,debt_ratio,loan_amount,dependents,prior_default,property_owner,savings_ratio,loan_approved,fair_label
1,61,2,27488,610,38,0.17,200000,3,0,0,0.305,1,1
0,28,3,40214,725,5,0.22,100000,2,0,1,0.116,0,1
0,53,1,20000,742,30,0.28,150000,3,0,0,0.136,0,1
0,40,2,24286,660,17,0.33,100000,2,0,0,0.249,0,0
1,27,1,20000,567,5,0.19,50000,3,0,0,0.264,0,0
1,41,2,26434,699,18,0.11,150000,1,0,1,0.309,1,1
1,48,2,27453,632,24,0.22,250000,4,0,1,0.238,1,1
0,64,2,24449,640,40,0.32,50000,0,0,1,0.228,0,1
0,58,2,26338,697,36,0.14,100000,3,1,1,0.284,0,1
0,28,4,53240,767,6,0.17,150000,2,0,0,0.09,0,1
1,26,2,26490,720,3,0.26,200000,2,0,0,0.13,1,1
0,32,4,52703,723,10,0.24,100000,2,0,1,0.097,0,1
0,36,3,38207,681,13,0.29,50000,3,0,1,0.02,0,1
1,24,2,27116,607,1,0.16,150000,3,0,1,0.267,0,0
1,26,3,38778,709,4,0.23,200000,0,0,1,0.314,1,1
1,44,1,20000,709,22,0.33,50000,0,0,1,0.244,1,1
1,58,3,38969,657,34,0.17,150000,0,0,0,0.23,1,1
1,30,2,27339,659,8,0.35,200000,0,0,0,0.207,0,0
1,36,4,50475,761,14,0.18,100000,0,0,0,0.204,1,1
1,24,3,37252,668,2,0.31,100000,2,0,1,0.336,1,1
0,50,3,38419,675,26,0.22,150000,1,0,1,0.324,0,1
1,27,3,39336,685,4,0.17,300000,2,0,0,0.153,1,1
1,38,2,25235,716,14,0.22,100000,1,0,1,0.289,1,1
1,47,2,24999,696,25,0.29,150000,2,0,1,0.298,1,1
1,42,2,27760,692,20,0.25,150000,0,0,0,0.252,1,1
0,29,2,24020,763,7,0.33,250000,2,0,1,0.231,0,1
1,42,2,24315,657,19,0.35,50000,2,0,1,0.228,1,1
1,32,4,52611,647,8,0.17,150000,1,0,1,0.081,1,1
0,59,2,25461,736,35,0.16,250000,1,0,1,0.074,0,1
1,29,4,51446,712,6,0.16,300000,0,0,0,0.263,1,1
0,63,3,38256,657,39,0.19,200000,3,1,0,0.112,0,1
1,45,2,26170,660,22,0.33,150000,2,0,1,0.089,1,1
1,56,4,52921,629,33,0.29,150000,2,1,0,0.034,1,1
0,35,2,24959,692,11,0.21,150000,0,0,0,0.162,0,1
0,35,4,53683,619,11,0.25,150000,0,0,0,0.23,0,1
0,31,2,26261,717,8,0.35,200000,0,1,1,0.236,0,0
1,33,2,25945,651,9,0.38,200000,0,0,0,0.268,0,0
1,59,2,24838,603,36,0.27,150000,0,1,0,0.169,0,0
0,65,2,26694,740,41,0.06,200000,0,1,1,0.209,0,1
1,55,2,24967,804,31,0.27,250000,2,1,1,0.268,1,1
1,62,2,25853,704,38,0.32,250000,1,1,1,0.237,1,1
1,31,2,26777,664,7,0.27,200000,1,0,0,0.153,0,0
1,38,4,50599,647,14,0.3,200000,2,1,0,0.224,1,1
0,38,2,24791,694,16,0.27,150000,2,0,0,0.041,0,1
1,24,2,24039,715,2,0.16,100000,2,0,1,0.2,1,1
0,52,3,39799,690,28,0.19,100000,0,0,1,0.151,0,1
1,22,3,40403,739,0,0.23,150000,3,0,1,0.321,1,1
1,33,4,52990,783,9,0.32,100000,3,0,0,0.122,1,1
1,60,2,24647,610,37,0.2,150000,1,0,1,0.209,1,1
1,25,1,20000,686,3,0.28,200000,0,0,0,0.166,0,0
0,63,2,24264,575,40,0.27,150000,3,0,0,0.155,0,0
0,34,2,26818,635,12,0.36,50000,4,0,1,0.23,0,0
0,55,4,53765,739,33,0.25,50000,0,0,0,0.167,1,1
0,63,2,27604,677,39,0.13,50000,0,0,1,0.348,0,1
0,42,4,50862,611,18,0.3,100000,3,0,0,0.042,0,1
0,43,2,24431,737,20,0.4,300000,1,0,0,0.25,0,1
1,25,4,51219,670,2,0.3,150000,3,0,1,0.193,1,1
1,39,1,20000,716,15,0.19,100000,0,0,0,0.196,0,0
1,26,4,50508,728,2,0.17,50000,3,0,0,0.224,1,1
1,40,4,50446,654,18,0.18,200000,0,0,1,0.28,1,1
1,23,4,50527,747,1,0.39,200000,0,0,0,0.221,1,1
1,33,1,20000,687,9,0.23,100000,4,0,1,0.28,0,0
0,38,1,20000,679,16,0.2,250000,0,0,1,0.204,0,0
1,31,3,38753,664,8,0.24,200000,0,0,1,0.117,1,1
1,55,1,20000,609,33,0.23,100000,3,0,0,0.193,0,0
1,27,1,20000,646,3,0.36,150000,0,0,1,0.292,0,0
1,29,2,25162,655,7,0.18,150000,0,1,1,0.167,0,0
0,32,2,24668,726,8,0.33,150000,1,0,0,0.113,0,1
1,33,2,27564,589,11,0.26,200000,2,0,0,0.25,0,0
0,30,1,20000,750,7,0.33,50000,2,0,1,0.227,0,1
0,23,1,20000,753,0,0.36,150000,3,0,0,0.138,0,0
1,29,2,26863,644,5,0.26,150000,1,0,1,0.181,0,0
1,32,2,27086,757,8,0.23,150000,1,0,0,0.185,1,1
0,57,1,20000,614,33,0.25,250000,1,0,1,0.201,0,0
0,31,2,27283,741,9,0.24,100000,3,0,0,0.252,0,1
0,42,4,51825,654,20,0.13,50000,2,0,1,0.168,0,1
0,41,4,53131,756,19,0.36,150000,3,0,0,0.256,1,1
1,29,4,53323,620,6,0.27,100000,4,0,1,0.157,1,1
1,57,4,50445,759,33,0.17,50000,1,0,0,0.333,1,1
1,50,2,25025,750,28,0.11,150000,1,1,1,0.335,1,1
0,63,3,38771,609,40,0.09,100000,2,0,1,0.131,0,1
0,33,2,25359,776,9,0.3,150000,0,0,0,0.102,0,1
1,35,3,37018,746,12,0.21,100000,0,0,0,0.278,1,1
1,42,2,26017,570,18,0.22,50000,3,0,1,0.221,0,0
1,43,3,37560,663,21,0.28,150000,1,0,0,0.244,1,1
1,42,2,27149,737,19,0.21,50000,2,0,1,0.148,1,1
0,65,1,20000,709,42,0.29,300000,2,1,0,0.189,0,0
0,51,3,37027,696,28,0.26,150000,2,0,1,0.172,0,1
0,60,1,20000,721,36,0.24,200000,0,1,0,0.224,0,0
1,41,2,26655,631,17,0.14,200000,2,0,1,0.1,0,0
1,45,1,20000,672,22,0.19,100000,1,0,0,0.192,0,0
0,44,2,24457,633,20,0.29,200000,3,1,1,0.1,0,0
0,28,1,20000,677,5,0.2,250000,1,0,0,0.159,0,0
0,30,4,53948,755,8,0.33,100000,4,0,1,0.192,1,1
0,22,2,25199,722,0,0.41,300000,1,0,0,0.241,0,0
1,47,2,27656,692,24,0.3,50000,4,1,0,0.247,0,0
1,59,2,24983,734,35,0.35,100000,3,0,1,0.261,1,1
1,59,3,37867,749,35,0.3,200000,2,0,0,0.081,1,1
1,65,3,40063,788,41,0.21,100000,1,0,1,0.301,1,1
1,43,3,39076,754,21,0.26,200000,1,0,1,0.148,1,1
1,65,3,38979,726,43,0.39,250000,2,0,1,0.154,1,1
0,31,4,52716,751,9,0.21,300000,2,1,0,0.221,0,1
1,27,3,37825,703,3,0.18,150000,1,0,1,0.173,1,1
1,38,3,37815,674,15,0.17,300000,2,0,0,0.229,1,1
0,59,2,26326,727,36,0.23,150000,2,0,1,0.244,0,1
1,45,3,39330,731,22,0.18,100000,0,0,0,0.139,1,1
1,31,2,27550,696,7,0.37,150000,0,0,0,0.185,0,0
0,29,3,38002,679,5,0.27,200000,0,0,0,0.188,0,1
1,42,3,38542,676,20,0.32,150000,0,0,1,0.277,1,1
1,27,3,39352,667,3,0.23,150000,1,0,1,0.163,1,1
1,42,3,39741,759,19,0.17,150000,3,1,0,0.159,1,1
1,60,1,20000,734,38,0.16,150000,1,0,1,0.118,1,1
0,45,1,20000,732,23,0.19,300000,0,0,0,0.127,0,1
0,54,2,25229,622,30,0.27,150000,1,1,1,0.092,0,0
0,39,4,53305,680,17,0.29,100000,4,0,1,0.144,0,1
0,49,3,38961,675,27,0.29,200000,1,0,1,0.327,0,1
0,53,3,39505,656,29,0.15,100000,4,0,0,0.255,0,1
1,33,3,40258,792,11,0.25,200000,0,0,0,0.302,1,1
0,63,3,38963,712,40,0.18,50000,0,0,1,0.124,0,1
1,48,4,52529,718,24,0.28,100000,2,0,0,0.044,1,1
0,31,3,37921,664,8,0.28,50000,1,0,0,0.225,0,1
0,63,3,38430,737,40,0.17,50000,2,0,1,0.348,1,1
1,53,3,40912,810,30,0.32,200000,3,0,1,0.161,1,1
1,63,2,25532,684,40,0.41,150000,0,0,0,0.208,1,1
1,47,3,38892,677,25,0.31,250000,2,0,0,0.074,1,1
1,46,2,26567,675,24,0.24,150000,2,1,0,0.202,0,0
0,32,1,20000,652,8,0.23,100000,3,0,1,0.19,0,0
0,44,3,38421,689,20,0.24,200000,1,0,1,0.033,0,1
1,55,2,25222,646,32,0.2,200000,0,0,1,0.117,1,1
1,61,4,50390,651,38,0.27,200000,2,0,1,0.111,1,1
1,44,2,25672,678,20,0.17,200000,4,0,1,0.074,1,1
1,50,2,26818,684,26,0.12,100000,0,0,0,0.142,1,1
1,52,2,25869,664,28,0.27,200000,0,0,0,0.241,1,1
1,28,1,20000,750,4,0.25,150000,1,1,1,0.149,0,0
0,61,2,25521,702,38,0.21,150000,2,0,0,0.292,0,1
1,54,2,25195,720,30,0.16,250000,1,0,1,0.171,1,1
1,42,1,20000,712,20,0.27,150000,0,0,1,0.226,1,1
0,23,2,26605,685,0,0.18,150000,2,0,1,0.24,0,0
1,39,2,24857,692,17,0.24,150000,0,1,0,0.323,0,0
0,54,3,38209,642,30,0.37,50000,0,1,1,0.143,0,1
0,58,1,20000,706,36,0.3,150000,1,0,1,0.235,0,1
1,55,3,38516,671,31,0.15,150000,1,0,1,0.124,1,1
1,41,3,40981,654,19,0.16,150000,1,0,0,0.338,1,1
1,56,2,27592,751,33,0.26,150000,0,0,1,0.117,1,1
1,39,4,51650,626,17,0.15,250000,1,0,1,0.231,1,1
1,45,3,39713,784,22,0.11,50000,2,0,0,0.325,1,1
0,29,3,38153,780,7,0.29,100000,1,1,0,0.104,0,1
1,51,1,20000,657,29,0.27,200000,2,1,1,0.248,0,0
1,65,3,38104,788,42,0.28,250000,0,1,0,0.121,1,1
1,31,3,40455,641,8,0.27,150000,0,0,0,0.386,1,1
0,44,2,25825,734,20,0.25,250000,3,0,0,0.049,0,1
1,32,2,25682,680,9,0.2,100000,1,0,1,0.079,1,1
1,23,2,24294,580,0,0.29,100000,1,0,0,0.11,0,0
1,47,3,39001,655,23,0.36,250000,3,0,0,0.113,1,1
0,57,2,26316,670,34,0.21,250000,2,0,0,0.242,0,1
1,54,3,37644,732,31,0.18,100000,2,0,1,0.344,1,1
0,34,1,20000,643,12,0.17,50000,2,0,1,0.292,0,0
0,61,3,39582,674,37,0.19,50000,0,0,1,0.219,0,1
1,46,2,27449,709,22,0.26,100000,4,0,1,0.201,1,1
0,25,2,27447,706,3,0.1,200000,3,0,1,0.151,0,1
1,63,2,26135,674,39,0.28,150000,0,0,0,0.231,1,1
0,40,1,20000,653,18,0.3,150000,3,1,1,0.183,0,0
0,39,1,20000,721,16,0.12,150000,1,0,0,0.215,0,1
1,58,2,24110,663,34,0.18,250000,2,0,1,0.141,1,1
1,51,2,24583,614,28,0.26,50000,0,0,0,0.104,0,0
0,40,4,53225,678,16,0.24,200000,1,0,1,0.202,0,1
1,44,3,38486,720,21,0.29,250000,0,0,1,0.2,1,1
1,37,2,27640,671,13,0.24,100000,1,1,1,0.152,0,0
1,22,1,20000,642,0,0.34,250000,0,0,1,0.139,0,0
0,33,2,25179,610,10,0.23,200000,1,0,1,0.245,0,0
0,45,3,38648,682,23,0.18,50000,2,0,1,0.236,0,1
1,55,2,27389,692,31,0.18,100000,3,0,0,0.35,1,1
1,29,1,20000,614,7,0.3,150000,0,0,0,0.31,0,0
1,39,2,26285,669,17,0.25,150000,3,0,0,0.104,0,0
0,26,3,39381,629,4,0.29,150000,1,0,0,0.185,0,0
1,47,2,24105,672,25,0.29,100000,3,0,0,0.091,1,1
0,51,3,40553,784,29,0.11,200000,1,1,1,0.053,0,1
1,34,2,25722,689,12,0.17,100000,3,0,1,0.376,1,1
0,40,1,20000,583,16,0.18,150000,2,0,0,0.318,0,0
1,50,2,25733,698,28,0.19,150000,1,0,0,0.15,1,1
1,24,2,24381,752,0,0.22,200000,1,0,1,0.299,1,1
1,47,1,20000,593,23,0.32,50000,4,0,0,0.311,0,0
0,61,1,20000,612,37,0.33,100000,3,0,1,0.046,0,0
0,33,1,20000,684,10,0.23,100000,1,0,0,0.268,0,0
1,23,1,20000,665,1,0.23,50000,0,1,1,0.161,0,0
0,32,2,25358,746,9,0.2,100000,2,0,0,0.231,0,1
0,65,4,52702,690,43,0.26,150000,4,0,0,0.441,1,1
0,49,2,24819,725,26,0.26,200000,0,1,1,0.327,0,1
1,39,3,37708,774,15,0.31,200000,3,0,0,0.19,1,1
1,34,2,26523,632,11,0.31,150000,0,0,0,0.314,0,0
1,58,2,27296,721,34,0.09,50000,4,0,0,0.046,1,1
0,43,1,20000,647,20,0.24,300000,2,0,1,0.24,0,0
0,33,2,26602,558,11,0.35,100000,1,0,0,0.242,0,0
0,23,2,27525,706,1,0.22,200000,1,0,1,0.256,0,1
1,58,1,20000,702,35,0.33,250000,2,0,1,0.159,1,1
1,28,3,38319,604,5,0.23,200000,2,0,1,0.231,0,0
0,47,2,26622,655,25,0.26,100000,3,0,0,0.268,0,1
0,47,2,26689,645,24,0.17,100000,2,0,1,0.02,0,1
0,45,1,20000,714,22,0.17,50000,1,1,1,0.175,0,0
0,33,2,24462,594,11,0.3,150000,4,0,0,0.128,0,0
0,37,3,39902,695,13,0.31,150000,2,0,0,0.253,0,1
1,44,2,27285,551,22,0.25,200000,3,0,1,0.31,0,0
1,61,2,24584,700,39,0.16,50000,3,0,1,0.151,1,1
0,30,2,24942,686,7,0.25,200000,3,0,0,0.113,0,0
0,53,1,20000,641,31,0.34,200000,0,0,1,0.209,0,0
1,36,3,37157,768,14,0.37,100000,2,0,1,0.108,1,1
1,58,3,39319,545,35,0.23,150000,1,0,0,0.182,0,0
0,34,1,20000,669,11,0.13,200000,1,0,0,0.173,0,0
1,26,1,20000,735,2,0.31,150000,1,0,1,0.246,0,0
1,32,3,38326,697,10,0.23,50000,3,1,0,0.225,1,1
1,31,2,27955,755,7,0.32,50000,1,0,1,0.213,1,1
0,34,1,20000,645,10,0.27,200000,1,1,1,0.331,0,0
0,62,3,39668,680,38,0.19,100000,0,0,0,0.222,0,1
1,36,2,26568,747,12,0.25,100000,0,0,0,0.167,1,1
0,63,2,27392,729,41,0.34,250000,2,1,0,0.176,0,1
1,28,2,26106,811,6,0.24,150000,0,0,0,0.139,1,1
1,61,3,38381,695,39,0.18,150000,0,0,1,0.119,1,1
0,49,2,24703,691,25,0.14,150000,1,0,1,0.089,0,1
0,53,4,50647,674,30,0.2,150000,0,1,1,0.291,0,1
0,56,3,40322,678,34,0.22,150000,0,0,1,0.143,0,1
0,36,1,20000,729,12,0.31,300000,3,0,1,0.225,0,1
0,57,2,26483,679,33,0.17,100000,3,1,1,0.176,0,1
1,42,2,24145,635,18,0.36,100000,1,0,1,0.198,0,0
1,27,2,26906,659,3,0.16,50000,1,0,1,0.292,0,0
